id,message_id,date,sender_id,first_name,last_name,username,message,media_type,media_path,reply_to,post_author,views,forwards,reactions
5,15067,2025-12-28 14:06:48,-1001891564886,,,,"Юлія Свириденко, Прем'єр-міністр України, подала новий законопроект про ""реформу ТЦК"" в наслідок якої у громадах можуть з’явитися селищні центри комплектування.

Передбачається поліпшення мобілізації у громадах за рахунок того, що людям не потрібно буде їздити у великі міста.

При цьому поліпшення мобілізації за рахунок її чоловіка та брата не передбачається.",MessageMediaPhoto,-1001891564886\media\15067-photo.jpg,,Вячеслав Шелемаха,1828,11,🤡 77 🤣 9 ❤ 2 👍 2 😁 2
4,15068,2025-12-28 15:57:39,-1001891564886,,,,"Улыбочку, сейчас вылетит птичка! 😁

Российский военный пропагандист, режиссёр и фотограф Олег Ракшин из Самары во время командировки в Донецкую область был ликвидирован FPV-дроном, — Z блоггеры",MessageMediaPhoto,-1001891564886\media\15068-photo.jpg,,Eva,1700,11,❤ 91 🔥 26 🥰 6 👍 2 😁 2 🎉 2 🤣 1
3,15069,2025-12-28 16:51:54,-1001891564886,,,,"Зеленський прибув до США. 

Які очікування?",MessageMediaDocument,-1001891564886\media\15069-document..mp4,,Вячеслав Шелемаха,1370,4,🤔 40 🤡 12 ❤ 4 😁 3 👍 2
2,15070,2025-12-28 17:07:35,-1001891564886,,,,"Трамп провёл телефонный разговор с Путиным перед встречей с Зеленским - он написал об этом в TruthSocial.

""У меня только что был хороший и очень продуктивный телефонный разговор с президентом Путиным перед моей встрече с президентом Зеленским сегодня в 13:00 (20:00 по Киеву, 21:00 по Москве).

Встреча пройдёт в главной столовой Мар-а-Лаго. Пресса приглашена. Спасибо за внимание"".

__
Ещё и с прессой...",MessageMediaPhoto,-1001891564886\media\15070-photo.jpg,,Вячеслав Шелемаха,1100,12,🤡 81 😁 20 🤮 4 😡 3 ⚡ 1
1,15071,2025-12-28 17:08:04,-1001891564886,,,,,MessageMediaDocument,-1001891564886\media\15071-кот-договорнячок.mp4,,Вячеслав Шелемаха,1274,12,❤ 45 😁 16 🥰 5 💯 3 ☃ 1 🙏 1 🤓 1
